Customer_ID,Age,Gender,Annual_Income,Total_Spent,Num_Purchases,Avg_Purchase_Value,Preferred_Style,Preferred_Color,Loyalty_Program_Member,Preferred_Shopping_Day,Online_vs_InStore,Coupon_Usage_Frequency,Time_Since_Last_Purchase_Days,Last_Purchase_Category,Loyalty_Points_Accumulated,Store_Visits_Per_Month,Customer_Since
CUST0000,18,Male,29012,1127.09,41,27.49,Casual,Blue,0,Friday,InStore,Always,12,Beauty,864,1,2021-03-23
CUST0001,19,Other,27164,1521.39,39,39.01,Casual,Green,0,Friday,InStore,Often,90,Beauty,859,4,2022-10-06
CUST0002,60,Male,39115,519.6,10,51.96,Vintage,Yellow,1,Sunday,Online,Rarely,44,Clothing,1619,7,2025-01-28
CUST0003,23,Female,31270,2781.39,87,31.97,Casual,Red,1,Friday,InStore,Always,49,Clothing,9144,5,2020-06-03
CUST0004,36,Other,88918,3930.4,34,115.6,Bohemian,Red,0,Saturday,InStore,Often,11,Accessories,1774,2,2020-12-17
CUST0005,55,Female,44857,3155.88,91,34.68,Vintage,Blue,1,Sunday,Online,Often,90,Home Decor,1269,10,2024-11-06
CUST0006,34,Female,48021,1552.2,30,51.74,Formal,White,1,Monday,InStore,Sometimes,72,Accessories,5413,1,2025-04-16
CUST0007,26,Female,50336,4635.39,61,75.99,Formal,Red,0,Monday,InStore,Sometimes,41,Accessories,1342,8,2023-09-09
CUST0008,65,Female,45035,1344.84,28,48.03,Vintage,Blue,0,Sunday,InStore,Sometimes,75,Electronics,1838,10,2022-11-14
CUST0009,56,Other,37186,1383.48,27,51.24,Vintage,White,0,Sunday,InStore,Often,20,Home Decor,327,7,2025-02-21
CUST0010,27,Other,82608,5919.48,58,102.06,Bohemian,White,1,Saturday,InStore,Often,2,Home Decor,1976,9,2023-06-21
CUST0011,48,Male,81003,7838.17,53,147.89,Sporty,Black,1,Wednesday,Online,Never,34,Beauty,3027,9,2023-11-23
CUST0012,22,Male,36635,3188.55,87,36.65,Casual,Blue,1,Friday,InStore,Sometimes,68,Clothing,9913,6,2024-11-28
CUST0013,51,Female,33665,2036.72,56,36.37,Vintage,Blue,0,Sunday,Online,Sometimes,11,Clothing,1498,8,2022-11-03
CUST0014,20,Female,24207,2222.16,94,23.64,Casual,Green,0,Friday,Online,Often,55,Accessories,1902,9,2020-06-22
